cve_ent,nom_ent,nom_abr,cve_mun,nom_mun,cve_cab,nom_cab,Pob_total,Total de viviendas habitadas,Pob_masculina,Pob_femenina
"01","Aguascalientes","Ags.","001","Aguascalientes","0001","Aguascalientes","948990","266942","462073","486917"
"01","Aguascalientes","Ags.","002","Asientos","0001","Asientos","51536","12544","25261","26275"
"01","Aguascalientes","Ags.","003","Calvillo","0001","Calvillo","58250","15556","28563","29687"
"01","Aguascalientes","Ags.","004","Cosío","0001","Cosío","17000","3938","8292","8708"
"01","Aguascalientes","Ags.","005","Jesús María","0001","Jesús María","129929","33229","64219","65710"
"01","Aguascalientes","Ags.","006","Pabellón de Arteaga","0001","Pabellón de Arteaga","47646","11470","23377","24269"
"01","Aguascalientes","Ags.","007","Rincón de Romos","0001","Rincón de Romos","57369","13584","28101","29268"
"01","Aguascalientes","Ags.","008","San José de Gracia","0001","San José de Gracia","9552","2381","4532","5020"
"01","Aguascalientes","Ags.","009","Tepezalá","0001","Tepezalá","22485","5425","11114","11371"
"01","Aguascalientes","Ags.","010","El Llano","0001","Palo Alto","20853","5211","10446","10407"
"01","Aguascalientes","Ags.","011","San Francisco de los Romo","0001","San Francisco de los Romo","61997","16391","30705","31292"
"02","Baja California","BC","001","Ensenada","0001","Ensenada","443807","139968","221307","222500"
"02","Baja California","BC","002","Mexicali","0001","Mexicali","1049792","330500","529248","520544"
"02","Baja California","BC","003","Tecate","0001","Tecate","108440","31176","57130","51310"
"02","Baja California","BC","004","Tijuana","0001","Tijuana","1922523","577011","968740","953783"
"02","Baja California","BC","005","Playas de Rosarito","0001","Playas de Rosarito","126890","38135","64386","62504"
"02","Baja California","BC","006","San Quintín","0001","San Quintín","117568","32773","59778","57790"
"03","Baja California Sur","BCS","001","Comondú","0001","Ciudad Constitución","73021","22242","36804","36217"
"03","Baja California Sur","BCS","002","Mulegé","0001","Santa Rosalía","64022","19436","33071","30951"
"03","Baja California Sur","BCS","003","La Paz","0001","La Paz","292241","91366","145803","146438"
"03","Baja California Sur","BCS","008","Los Cabos","0001","San José del Cabo","351111","101981","180944","170167"
"03","Baja California Sur","BCS","009","Loreto","0001","Loreto","18052","5635","9257","8795"
"04","Campeche","Camp.","001","Calkiní","0001","Calkiní","59232","15289","29170","30062"
